node_count,uwb_sigma_m,seed,rmse_aligned_m,mae_aligned_m,pairwise_dist_mae_m
8,0.6,40219,0.2386764993214787,0.2189988838238203,0.24301077726967252
8,0.7,40219,0.2279140805016788,0.20811714513854945,0.22702753237574466
8,0.8,40219,0.22721928953755205,0.18541505844477735,0.21900826590469089
8,0.9,40219,0.33686743780842165,0.3073811732579029,0.3776319977245826
8,1,40219,0.2833741749138637,0.2598143935703804,0.2969621036954817
8,1.5,40219,0.6616566071735881,0.6029284960975146,0.6684768797453297
8,2,40219,0.5981957865264523,0.531645136521863,0.5456118363088973
8,3,40219,0.7338605035464453,0.70557637832877,0.6404010470350185
8,4,40219,1.3365643197755714,1.1758687241910355,1.3281442179048282
8,5,40219,1.7002647676639289,1.5214019032382393,1.8064040127974421
15,0,226,0.0002037074485711974,0.0001585604617169263,0.0001489450675609508
15,0.1,226,0.027363665644457694,0.02585211539811187,0.027225737128213516
15,0.2,226,0.050561839029715526,0.04644225571451911,0.04646636843529029
15,0.3,226,0.0839727811744857,0.07220067035861574,0.08644626156669054
15,0.4,226,0.11129385704619034,0.10058212520661852,0.09840301383388937
15,0.5,226,0.14425280718240233,0.11911059279509238,0.13182267250023083
15,0.6,226,0.14323344386899942,0.12604102927256075,0.13083802465761168
15,0.7,226,0.21686118246420666,0.20630957176885303,0.19876692670869925
15,0.8,226,0.2154855380090609,0.19586804884584158,0.1938910742015913
15,0.9,226,0.24235305179001548,0.2249814094954118,0.21661551858431327
15,1,226,0.170363461182335,0.15438881228382842,0.15053707723842194
15,1.5,226,0.33937502261492686,0.2893399438254363,0.29088685632509326
15,2,226,0.40793455718284943,0.3493334038231135,0.33664671088485637
15,3,226,0.5971425350271485,0.5134785611659887,0.5128223151883283
15,4,226,1.041861660818167,0.9173902572359801,0.9293513699255566
15,5,226,1.291337988645023,1.0829116554939309,1.135970366189946
15,0,10226,0.00015303798672166156,0.0001349664809926515,0.00010832728524851224
15,0.1,10226,0.024187834120209643,0.02154340320160234,0.02141765303016248
15,0.2,10226,0.059877155438707814,0.053110037276531775,0.05429325540207401
15,0.3,10226,0.05783165947685166,0.050381888462585435,0.05084515020186566
15,0.4,10226,0.10540721907401361,0.09412225051011366,0.09617759427124312
15,0.5,10226,0.17323804835201195,0.1500402293846236,0.1603994355273128
15,0.6,10226,0.1605136881449456,0.1464124616798253,0.14135664324108005
15,0.7,10226,0.18797651489033446,0.16413446064640438,0.17685845073953213
15,0.8,10226,0.21269497470118298,0.1905055538645823,0.19781986090459788
15,0.9,10226,0.19335567313250604,0.18034368158526076,0.15534778201767688
15,1,10226,0.26495555797865555,0.22479322811536503,0.25268344989724095
15,1.5,10226,0.383597999928386,0.3012972546550311,0.3413703539542653
