time_s,rmse_gps_m,rmse_kalman_m,rmse_adaptive_m,r_fixed,q_fixed,r_adaptive_init,q_adaptive_init,std,n
273,9.225765915280334,5.1492734366568325,5.32324074730706,100,0.01,10,0.01,10,5
274,9.225765915280334,4.302988190724743,4.462174085152096,100,0.01,10,0.01,10,5
275,9.225765915280334,6.6876148937009745,6.87299208914797,100,0.01,10,0.01,10,5
276,9.225765915280334,6.827636230829883,7.1156736564230245,100,0.01,10,0.01,10,5
277,9.225765915280334,6.396507625376163,6.6605277726896945,100,0.01,10,0.01,10,5
278,9.225765915280334,8.022528588477849,8.470029476327452,100,0.01,10,0.01,10,5
279,9.225765915280334,7.855602207138158,8.169620900680846,100,0.01,10,0.01,10,5
280,9.225765915280334,5.938645171873799,6.022033638726074,100,0.01,10,0.01,10,5
281,9.225765915280334,6.940655722049372,7.014996177334187,100,0.01,10,0.01,10,5
282,9.225765915280334,6.274008593687365,6.334582411007056,100,0.01,10,0.01,10,5
283,9.225765915280334,5.672461890206432,5.713708786629127,100,0.01,10,0.01,10,5
284,9.225765915280334,6.249899688026814,6.27379017754115,100,0.01,10,0.01,10,5
285,9.225765915280334,4.047405689226312,3.9806780138950613,100,0.01,10,0.01,10,5
286,9.225765915280334,3.652626314870863,3.5504280948503024,100,0.01,10,0.01,10,5
287,9.225765915280334,3.0902002949585925,2.977712228736605,100,0.01,10,0.01,10,5
288,9.225765915280334,1.7219233698769583,1.4725898156953938,100,0.01,10,0.01,10,5
289,9.225765915280334,2.773829987080295,3.3571406443012286,100,0.01,10,0.01,10,5
290,9.225765915280334,4.00050449285819,4.611587159029112,100,0.01,10,0.01,10,5
291,9.225765915280334,2.9323172663536616,3.4831784990005947,100,0.01,10,0.01,10,5
292,9.225765915280334,1.2681737251795926,1.690406463425318,100,0.01,10,0.01,10,5
293,9.225765915280334,2.0579532033173,2.4661562479996975,100,0.01,10,0.01,10,5
294,9.225765915280334,4.137439997140242,4.624987106697235,100,0.01,10,0.01,10,5
295,9.225765915280334,5.5322241560584775,6.040644064485261,100,0.01,10,0.01,10,5
296,9.225765915280334,6.561315201474109,7.088336767898147,100,0.01,10,0.01,10,5
297,9.225765915280334,5.968284508533979,6.407790323998648,100,0.01,10,0.01,10,5
298,9.225765915280334,6.341260389894471,6.767673939256333,100,0.01,10,0.01,10,5
299,9.225765915280334,4.6483874970828065,4.944928957955232,100,0.01,10,0.01,10,5
300,9.225765915280334,6.02722467859684,6.35737093629534,100,0.01,10,0.01,10,5
301,9.225765915280334,6.5367677998849265,6.839415153426373,100,0.01,10,0.01,10,5
302,9.225765915280334,5.580094673443774,5.800280242108165,100,0.01,10,0.01,10,5
303,9.225765915280334,4.025742787247614,4.140436518837669,100,0.01,10,0.01,10,5
304,9.225765915280334,3.7203966441603837,3.778852239125965,100,0.01,10,0.01,10,5
305,9.225765915280334,3.078513490881165,3.076916304358116,100,0.01,10,0.01,10,5
306,9.225765915280334,3.0054418365128024,2.989961553044378,100,0.01,10,0.01,10,5
307,9.225765915280334,3.223705326428913,3.1857139258528844,100,0.01,10,0.01,10,5
308,9.225765915280334,2.186478342725596,2.0944354819350006,100,0.01,10,0.01,10,5
