scenario,time_s,node_count,tx_per_node_per_min,rmse_m
few_moving,171,5,132,22.05086551168638
few_moving,172,5,132,22.06535921276093
few_moving,173,5,120,22.083278137338375
few_moving,174,5,120,22.105598194913444
few_moving,175,5,120,22.124159093657696
few_moving,176,5,132,22.134637132847924
few_moving,177,5,120,22.13446530218159
few_moving,178,5,120,22.136339591012906
few_moving,179,5,108,22.139706451427273
few_moving,180,5,96,22.1501430382539
few_moving,181,5,120,25.03452628080151
few_moving,182,5,96,25.01435250489299
few_moving,183,5,60,24.998656491332333
few_moving,184,5,60,24.98740611257723
few_moving,185,5,72,24.97942936677246
few_moving,186,5,48,24.973712983526823
few_moving,187,5,0,24.969570342113453
few_moving,188,5,0,24.966534121309778
few_moving,189,5,0,24.964284184969102
few_moving,190,5,36,24.963729308481565
few_moving,191,5,72,28.137092008971027
few_moving,192,5,60,28.137593639059272
few_moving,193,5,60,28.1391707662091
few_moving,194,5,60,28.14176472579482
few_moving,195,5,84,28.144594514308523
few_moving,196,5,60,28.147338273065493
few_moving,197,5,0,28.149840382324957
few_moving,198,5,24,28.151869986792025
few_moving,199,5,60,9.710134789660172
few_moving,200,5,108,9.710134789660172
few_moving,201,5,72,9.710134789660172
few_moving,202,5,60,9.710134789660172
few_moving,203,5,60,9.710134789660172
few_moving,204,5,36,9.710134789660172
few_moving,205,5,24,9.710134789660172
few_moving,206,5,12,9.710134789660172
few_moving,207,5,0,9.710134789660172
few_moving,208,5,12,9.710134789660172
few_moving,209,5,24,9.710134789660172
few_moving,210,5,36,9.710134789660172
few_moving,211,5,12,9.710134789660172
few_moving,0,10,0,22.085777006079997
few_moving,1,10,162,29.850296069642088
few_moving,2,10,186,29.80399521479343
few_moving,3,10,192,29.760389899218566
few_moving,4,10,192,29.72053219238716
few_moving,5,10,186,29.684053643355647
few_moving,6,10,120,29.649899765882644
few_moving,7,10,90,29.61817339231116
few_moving,8,10,6,29.589257603612428
few_moving,9,10,0,29.562590251784595
few_moving,10,10,0,29.5379410030975
few_moving,11,10,0,29.51515720140415
few_moving,12,10,0,29.494137935656553
few_moving,13,10,0,29.47481678071463
few_moving,14,10,0,29.457150313419483
few_moving,15,10,0,29.441110457743406
few_moving,16,10,0,29.42667936807093
few_moving,17,10,0,29.413845997896402
few_moving,18,10,0,29.40260379097807
few_moving,19,10,0,29.392949122738216
few_moving,20,10,36,29.384880245155912
few_moving,21,10,24,29.37874228396825
few_moving,22,10,36,29.372298728499977
few_moving,23,10,0,29.36752681086752
few_moving,24,10,0,29.36451277020154
few_moving,25,10,0,29.362915683755975
few_moving,26,10,0,29.362220730631098
few_moving,27,10,0,29.362037912752704
few_moving,28,10,0,29.362130560631172
few_moving,29,10,0,29.362357615698084
few_moving,30,10,0,29.36263715678138
few_moving,31,10,66,29.362923451623978
few_moving,32,10,0,29.36319259475321
few_moving,33,10,0,29.36343357955744
few_moving,34,10,0,29.363642797168097
few_moving,35,10,30,29.363820686674096
few_moving,36,10,54,29.363969728321315
few_moving,37,10,36,29.362265454255322
few_moving,38,10,0,29.36129882666535
few_moving,39,10,0,29.360990942957443
few_moving,40,10,0,29.361044399189808
few_moving,41,10,30,29.361279926464487
few_moving,42,10,0,29.361592160812787
few_moving,43,10,0,29.36192140653425
few_moving,44,10,0,29.362235764289196
few_moving,45,10,0,29.362519919341352
few_moving,46,10,36,29.362768178308208
few_moving,47,10,0,29.362980197331773
